variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v6-20-cATM,3,3,6000,4200,765,1916185,2505,1908,-6000,26062,245,209,98,292,62,-29541,9,64.9,30.52,55.8,6877,-6134,0,1687,259
v6-20-cATM,2,2,4000,2800,765,1595195,2085,1083,-4000,26915,291,242,0,346,55,-39722,35,40.2,26.15,55.1,5844,-4051,0,3788,285
v6-20-cATM,1.5,1.5,3000,2100,765,1368914,1789,79,-3000,22712,302,266,0,375,51,-31561,35,43.4,22.23,54.2,5009,-3290,0,5602,276
v6-20-cATM,1,1,2000,1400,765,996002,1302,-281,-2000,22540,336,13,0,403,47,-23622,16,42.2,16.24,53.3,3890,-2000,0,8231,212
v6-40-cATM,current/generic,2.25,9000,5000,765,2103783,2750,663,-9000,56221,330,294,205,358,53,-78734,13,26.7,30.76,37.3,9419,-9000,0,2914,1326
v6-40-cATM,2,2,8000,5600,765,1886346,2466,242,-8000,56221,344,305,201,375,51,-62399,27,30.2,29.27,37.2,9072,-8000,0,3470,1009
v6-40-cATM,1.5,1.5,6000,4200,765,1572527,2056,-233,-6000,56221,355,321,170,390,49,-62620,21,25.1,25.75,35.8,8067,-6000,0,5057,934
v6-40-cATM,1,1,4000,2800,765,1221685,1597,-881,-4000,49566,380,313,0,429,44,-49690,23,24.6,20.34,33.8,6482,-4064,0,7481,721
v7-20-cATM,current/generic,3.5,7000,5000,765,2390921,3125,1719,-7000,33496,288,251,127,325,57,-52777,16,45.3,38.54,66.8,7510,-7000,0,9094,666
v7-20-cATM,3,3,6000,4200,765,2341716,3061,1412,-6000,33496,286,252,90,331,57,-52285,16,44.8,35.78,66.9,6909,-6000,0,11098,632
v7-20-cATM,2,2,4000,2800,765,1828070,2390,644,-4000,33496,297,212,0,350,54,-32034,14,57.1,28.7,66.4,5553,-4000,0,16326,547
v7-20-cATM,1.5,1.5,3000,2100,765,1627285,2127,787,-3000,32237,276,190,0,347,55,-20494,13,79.4,23.78,66.5,4594,-3000,0,19784,410
v7-20-cATM,1,1,2000,1400,765,1086352,1420,25,-2000,23180,258,5,0,378,50,-19751,19,55,16.93,66.2,3385,-2000,0,24513,273
v7-40-cATM,current/generic,2.25,9000,5000,765,2729631,3568,-2132,-9000,75346,414,390,287,432,43,-89038,22,30.7,26.73,36,8844,-9000,0,21141,2391
v7-40-cATM,2,2,8000,5600,765,2552744,3337,-2028,-8000,74579,415,384,249,435,43,-75639,22,33.7,24.49,35.7,8125,-8000,0,22531,2025
v7-40-cATM,1.5,1.5,6000,4200,765,2012232,2630,-1171,-6000,68305,393,348,145,441,42,-55581,22,36.2,19.9,35.5,6606,-6000,0,25343,1576
v7-40-cATM,1,1,4000,2800,765,1434187,1875,-1005,-4000,63555,384,304,0,446,42,-35852,63,40,13.91,36.3,4634,-4000,0,28846,1002
v8-20-cATM,current/generic,3.5,7000,5000,765,641965,839,565,-6995,18745,236,138,41,325,57,-21159,9,30.3,10.84,56.7,2069,-7000,0,446,30
v8-20-cATM,3,3,6000,4200,765,601727,787,496,-5995,18745,237,144,46,332,56,-26745,10,22.5,10.63,56.7,2030,-6000,0,691,20
v8-20-cATM,2,2,4000,2800,765,563760,737,264,-4000,18745,261,156,0,358,53,-28595,33,19.7,10.03,56.5,1894,-4000,0,1412,31
v8-20-cATM,1.5,1.5,3000,2100,765,518672,678,128,-2990,18745,267,166,0,368,52,-34967,33,14.8,9.58,55.9,1807,-3000,0,3014,68
v8-20-cATM,1,1,2000,1400,765,452991,592,-57,-2000,18745,301,5,0,395,48,-28545,33,15.9,8.45,56.1,1626,-2251,0,6702,130
v8-40-cATM,current/generic,2.25,9000,5000,765,404216,528,617,-9000,25056,281,210,150,342,55,-86797,216,4.7,7.55,39.2,1579,-9000,0,2494,409
v8-40-cATM,2,2,8000,5600,765,349819,457,472,-7995,25056,287,215,159,349,54,-78817,221,4.4,6.98,40.2,1482,-7995,0,2928,221
